15Q: 132/243
1 ((1, 0, 0, 0, 1), 40)
2 ((1, 1, 0, 0, 1), 41)
2 ((1, 2, 0, 0, 1), 41)
3 ((0, 0, 1, 0, 1), 42)
3 ((0, 0, 2, 0, 1), 42)
3 ((1, 0, 1, 0, 0), 42)
3 ((1, 0, 2, 0, 0), 42)
4 ((0, 0, 1, 1, 0), 43)
4 ((0, 1, 1, 0, 1), 43)
4 ((0, 1, 2, 0, 1), 43)
4 ((0, 2, 1, 0, 1), 43)
4 ((0, 2, 2, 0, 1), 43)
4 ((1, 0, 0, 1, 1), 43)
4 ((1, 0, 0, 2, 1), 43)
4 ((1, 1, 1, 0, 0), 43)
4 ((1, 1, 2, 0, 0), 43)
4 ((1, 2, 1, 0, 0), 43)
4 ((1, 2, 2, 0, 0), 43)
5 ((0, 1, 1, 1, 0), 44)
5 ((0, 2, 1, 1, 0), 44)
5 ((1, 0, 1, 0, 1), 44)
5 ((1, 0, 1, 0, 2), 44)
5 ((1, 0, 2, 0, 1), 44)
5 ((1, 0, 2, 0, 2), 44)
5 ((1, 1, 0, 1, 1), 44)
5 ((1, 1, 0, 2, 1), 44)
5 ((1, 2, 0, 1, 1), 44)
5 ((1, 2, 0, 2, 1), 44)
5 ((2, 0, 1, 0, 1), 44)
5 ((2, 0, 1, 0, 2), 44)
5 ((2, 0, 2, 0, 1), 44)
5 ((2, 0, 2, 0, 2), 44)
6 ((0, 0, 1, 1, 1), 45)
6 ((0, 0, 1, 1, 2), 45)
6 ((0, 0, 1, 2, 1), 45)
6 ((0, 0, 1, 2, 2), 45)
6 ((0, 0, 2, 1, 1), 45)
6 ((0, 0, 2, 2, 1), 45)
6 ((1, 0, 1, 1, 0), 45)
6 ((1, 0, 1, 2, 0), 45)
6 ((1, 0, 2, 1, 0), 45)
6 ((1, 0, 2, 2, 0), 45)
6 ((1, 1, 1, 0, 1), 45)
6 ((1, 1, 1, 0, 2), 45)
6 ((1, 1, 2, 0, 1), 45)
6 ((1, 1, 2, 0, 2), 45)
6 ((1, 2, 1, 0, 1), 45)
6 ((1, 2, 1, 0, 2), 45)
6 ((1, 2, 2, 0, 1), 45)
6 ((1, 2, 2, 0, 2), 45)
6 ((2, 0, 1, 1, 0), 45)
6 ((2, 0, 1, 2, 0), 45)
6 ((2, 1, 1, 0, 1), 45)
6 ((2, 1, 1, 0, 2), 45)
6 ((2, 1, 2, 0, 1), 45)
6 ((2, 1, 2, 0, 2), 45)
6 ((2, 2, 1, 0, 1), 45)
6 ((2, 2, 1, 0, 2), 45)
6 ((2, 2, 2, 0, 1), 45)
6 ((2, 2, 2, 0, 2), 45)
7 ((0, 1, 1, 1, 1), 46)
7 ((0, 1, 1, 1, 2), 46)
7 ((0, 1, 1, 2, 1), 46)
7 ((0, 1, 1, 2, 2), 46)
7 ((0, 1, 2, 1, 1), 46)
7 ((0, 1, 2, 2, 1), 46)
7 ((0, 2, 1, 1, 1), 46)
7 ((0, 2, 1, 1, 2), 46)
7 ((0, 2, 1, 2, 1), 46)
7 ((0, 2, 1, 2, 2), 46)
7 ((0, 2, 2, 1, 1), 46)
7 ((0, 2, 2, 2, 1), 46)
7 ((1, 1, 1, 1, 0), 46)
7 ((1, 1, 1, 2, 0), 46)
7 ((1, 1, 2, 1, 0), 46)
7 ((1, 1, 2, 2, 0), 46)
7 ((1, 2, 1, 1, 0), 46)
7 ((1, 2, 1, 2, 0), 46)
7 ((1, 2, 2, 1, 0), 46)
7 ((1, 2, 2, 2, 0), 46)
7 ((2, 1, 1, 1, 0), 46)
7 ((2, 1, 1, 2, 0), 46)
7 ((2, 2, 1, 1, 0), 46)
7 ((2, 2, 1, 2, 0), 46)
8 ((1, 0, 1, 1, 1), 47)
8 ((1, 0, 1, 1, 2), 47)
8 ((1, 0, 1, 2, 1), 47)
8 ((1, 0, 1, 2, 2), 47)
8 ((1, 0, 2, 1, 1), 47)
8 ((1, 0, 2, 1, 2), 47)
8 ((1, 0, 2, 2, 1), 47)
8 ((1, 0, 2, 2, 2), 47)
8 ((2, 0, 1, 1, 1), 47)
8 ((2, 0, 1, 1, 2), 47)
8 ((2, 0, 1, 2, 1), 47)
8 ((2, 0, 1, 2, 2), 47)
8 ((2, 0, 2, 1, 1), 47)
8 ((2, 0, 2, 1, 2), 47)
8 ((2, 0, 2, 2, 1), 47)
8 ((2, 0, 2, 2, 2), 47)
9 ((1, 1, 1, 1, 1), 48)
9 ((1, 1, 1, 1, 2), 48)
9 ((1, 1, 1, 2, 1), 48)
9 ((1, 1, 1, 2, 2), 48)
9 ((1, 1, 2, 1, 1), 48)
9 ((1, 1, 2, 1, 2), 48)
9 ((1, 1, 2, 2, 1), 48)
9 ((1, 1, 2, 2, 2), 48)
9 ((1, 2, 1, 1, 1), 48)
9 ((1, 2, 1, 1, 2), 48)
9 ((1, 2, 1, 2, 1), 48)
9 ((1, 2, 1, 2, 2), 48)
9 ((1, 2, 2, 1, 1), 48)
9 ((1, 2, 2, 1, 2), 48)
9 ((1, 2, 2, 2, 1), 48)
9 ((1, 2, 2, 2, 2), 48)
9 ((2, 1, 1, 1, 1), 48)
9 ((2, 1, 1, 1, 2), 48)
9 ((2, 1, 1, 2, 1), 48)
9 ((2, 1, 1, 2, 2), 48)
9 ((2, 1, 2, 1, 1), 48)
9 ((2, 1, 2, 1, 2), 48)
9 ((2, 1, 2, 2, 1), 48)
9 ((2, 1, 2, 2, 2), 48)
9 ((2, 2, 1, 1, 1), 48)
9 ((2, 2, 1, 1, 2), 48)
9 ((2, 2, 1, 2, 1), 48)
9 ((2, 2, 1, 2, 2), 48)
9 ((2, 2, 2, 1, 1), 48)
9 ((2, 2, 2, 1, 2), 48)
9 ((2, 2, 2, 2, 1), 48)
9 ((2, 2, 2, 2, 2), 48)
