18Q : 342/729
14 ((2, 0, 2, 2, 1, 0), 708)
14 ((2, 1, 1, 1, 2, 1), 708)
14 ((2, 2, 1, 1, 1, 2), 708)
14 ((2, 2, 1, 2, 2, 0), 708)
14 ((2, 2, 2, 0, 1, 1), 708)
15 ((0, 0, 1, 1, 2, 2), 720)
15 ((0, 0, 2, 0, 2, 1), 720)
15 ((0, 1, 1, 2, 2, 1), 720)
15 ((0, 1, 2, 0, 1, 2), 720)
15 ((0, 2, 1, 2, 1, 2), 720)
15 ((0, 2, 2, 1, 1, 1), 720)
15 ((1, 0, 1, 2, 1, 2), 720)
15 ((1, 0, 2, 1, 1, 1), 720)
15 ((1, 1, 1, 0, 2, 2), 720)
15 ((1, 1, 2, 2, 1, 0), 720)
15 ((1, 2, 1, 1, 2, 1), 720)
15 ((1, 2, 2, 2, 0, 1), 720)
15 ((2, 0, 1, 1, 2, 1), 720)
15 ((2, 1, 1, 1, 1, 2), 720)
15 ((2, 1, 1, 2, 2, 0), 720)
15 ((2, 1, 2, 0, 1, 1), 720)
15 ((2, 2, 1, 2, 1, 1), 720)
15 ((2, 2, 2, 1, 1, 0), 720)
16 ((0, 0, 1, 2, 2, 1), 732)
16 ((0, 0, 2, 0, 1, 2), 732)
16 ((0, 1, 1, 2, 1, 2), 732)
16 ((0, 1, 2, 1, 1, 1), 732)
16 ((0, 2, 1, 0, 2, 2), 732)
16 ((1, 0, 1, 0, 2, 2), 732)
16 ((1, 0, 2, 2, 1, 0), 732)
16 ((1, 1, 1, 1, 2, 1), 732)
16 ((1, 1, 2, 2, 0, 1), 732)
16 ((1, 2, 1, 1, 1, 2), 732)
16 ((1, 2, 1, 2, 2, 0), 732)
16 ((1, 2, 2, 0, 1, 1), 732)
16 ((2, 0, 1, 1, 1, 2), 732)
16 ((2, 0, 1, 2, 2, 0), 732)
16 ((2, 0, 2, 0, 1, 1), 732)
16 ((2, 1, 1, 2, 1, 1), 732)
16 ((2, 1, 2, 1, 1, 0), 732)
16 ((2, 2, 1, 0, 2, 1), 732)
16 ((2, 2, 1, 2, 0, 2), 732)
17 ((0, 0, 1, 2, 1, 2), 744)
17 ((0, 0, 2, 1, 1, 1), 744)
17 ((0, 1, 1, 0, 2, 2), 744)
17 ((0, 2, 1, 1, 2, 1), 744)
17 ((1, 0, 1, 1, 2, 1), 744)
17 ((1, 0, 2, 2, 0, 1), 744)
17 ((1, 1, 1, 1, 1, 2), 744)
17 ((1, 1, 1, 2, 2, 0), 744)
17 ((1, 1, 2, 0, 1, 1), 744)
17 ((1, 2, 1, 2, 1, 1), 744)
17 ((1, 2, 2, 1, 1, 0), 744)
17 ((2, 0, 1, 2, 1, 1), 744)
17 ((2, 0, 2, 1, 1, 0), 744)
17 ((2, 1, 1, 0, 2, 1), 744)
17 ((2, 1, 1, 2, 0, 2), 744)
17 ((2, 2, 1, 0, 1, 2), 744)
17 ((2, 2, 1, 1, 2, 0), 744)
18 ((0, 0, 1, 0, 2, 2), 756)
18 ((0, 1, 1, 1, 2, 1), 756)
18 ((0, 2, 1, 1, 1, 2), 756)
18 ((0, 2, 1, 2, 2, 0), 756)
18 ((0, 2, 2, 0, 1, 1), 756)
18 ((1, 0, 1, 1, 1, 2), 756)
18 ((1, 0, 1, 2, 2, 0), 756)
18 ((1, 0, 2, 0, 1, 1), 756)
18 ((1, 1, 1, 2, 1, 1), 756)
